ID,Marca,Cliente,Zona,Latitud,Longitud,Estado,Imagen_URL
CDSMXN25062309,CASHDRO S,WOOLWORTH,Norte,22.2134739,-97.8569115,Tamaulipas,logos/cashdros.png
CDSMXN25062310,CASHDRO S,WOOLWORTH,Norte,22.2134739,-97.8569115,Tamaulipas,logos/cashdros.png
CDSMXN25062306,CASHDRO S,GRUPO PERRO NEGRO,Metro,19.433648,-99.1565467,CDMX,logos/cashdros.png
CDSMXN25032802,CASHDRO S,TAQUERIA SAYULITA,Metro,19.5516598,-99.2121212,Estado de Mexico,logos/cashdros.png
CDSMXN25062318,CASHDRO S,WOOLWORTH,Bajio,20.576006,-100.4072975,Queretaro,logos/cashdros.png
CDSMXN23101013,CASHDRO S,WOOLWORTH,Bajio,20.6192575,-100.4403585,Queretaro,logos/cashdros.png
CDSMXN25062317,CASHDRO S,WOOLWORTH,Bajio,20.5218777,-100.8135196,Guanajuato,logos/cashdros.png
CDSMXN25062319,CASHDRO S,WOOLWORTH,Bajio,20.5218777,-100.8135196,Guanajuato,logos/cashdros.png
CDSMXN25062316,CASHDRO S,WOOLWORTH,Bajio,20.5218777,-100.8135196,Guanajuato,logos/cashdros.png
CDSMXN24091303,CASHDRO S,WOOLWORTH,Bajio,20.576006,-100.4072975,Queretaro,logos/cashdros.png
CDSMXN24091307,CASHDRO S,WOOLWORTH,Bajio,21.0187286,-101.2588,Guanajuato,logos/cashdros.png
CDSMXN25062320,CASHDRO S,WOOLWORTH,Bajio,20.5208644,-100.8144972,Guanajuato,logos/cashdros.png
CDSMXN24100117,CASHDRO S,CENTRAL MOTOPARTES,Pacifico,20.72992,-105.2823643,Nayarit,logos/cashdros.png
CDSMXN25061016,CASHDRO S,ABARROTES DIAMANTE,Bajio,21.8827272,-102.366889,Aguascalientes,logos/cashdros.png
CDSMXN25032609,CASHDRO S,PALETERIA COCO,Metro,19.5443988,-99.2161382,Estado de Mexico,logos/cashdros.png
CDSMXN24100415,CASHDRO S,FERRETERIA LA BARATA,Metro,19.3623028,-99.0092797,CDMX,logos/cashdros.png
CDSMXN24091310,CASHDRO S,CEMENTOS MOCTEZUMA,Norte,21.9277923,-99.9856344,San Luis Potosi,logos/cashdros.png
CDSMXN25101303,CASHDRO S,WOOLWORTH,Bajio,20.9547359,-101.4247968,Guanajuato,logos/cashdros.png
CDSMXN25101309,CASHDRO S,TRACTO ACCESORIOS,Bajio,20.0226413,-98.4747488,Hidalgo ,logos/cashdros.png
CDSMXN25101305,CASHDRO S,WOOLWORTH,Bajio,20.9547359,-101.4247968,Guanajuato,logos/cashdros.png
CDSMXN25101301,CASHDRO S,WOOLWORTH,Bajio,20.9547359,-101.4247968,Guanajuato,logos/cashdros.png
CDSMXN25101304,CASHDRO S,WOOLWORTH,Bajio,20.9547359,-101.4247968,Guanajuato,logos/cashdros.png
CDSMXN24091311,CASHDRO S,CARNICERIA MARIA CRISTINA,Norte,25.6421389,-100.0884581,Nuevo Leon,logos/cashdros.png
CDSMXN25062303,CASHDRO S,GRUPO PERRO NEGRO,Metro,19.4978098,-99.2363983,Estado de Mexico,logos/cashdros.png
CDSMXN25111002,CASHDRO S,ADMINISTRADORA DE ACEROS Y MATERIALES,Metro,19.669828,-99.2086909,Estado de Mexico,logos/cashdros.png
CDSMXN25111007,CASHDRO S,SANTA FE TORTILLERIA,Metro Foraneo,18.8824059,-97.7287703,Puebla ,logos/cashdros.png
CDSMXN25111008,CASHDRO S,ZONA NINJA,Metro,19.372915,-99.1727313,CDMX,logos/cashdros.png
CDSMXN25111009,CASHDRO S,CEIBA JARDIN DE CERVEZA,Metro,19.2936373,-99.717476,Estado de Mexico,logos/cashdros.png
CDSMXN25111011,CASHDRO S,CAFETERIA CONKAFECITO,Sureste,21.0426226,-89.600782,Yucatan,logos/cashdros.png
CDSMXN25111015,CASHDRO S,ATOLE Y TAMALES CHELO,Bajio,20.6443923,-100.47283,Queretaro,logos/cashdros.png
CDSMXN25032601,CASHDRO S,FERRETERIA ALNA,Metro Foraneo,19.7119741,-99.942251,Estado de Mexico,logos/cashdros.png
